date,open,high,low,close,volume
2023-08-15,4.82,4.88,4.8,4.88,871055
2023-08-16,4.87,5.0,4.82,4.93,917475
2023-08-17,4.93,4.94,4.82,4.9,996905
2023-08-18,4.9,4.97,4.8,4.82,733087
2023-08-21,4.79,4.84,4.64,4.64,1059166
2023-08-22,4.68,4.71,4.62,4.69,1044391
2023-08-23,4.66,4.69,4.58,4.59,915756
2023-08-24,4.65,4.69,4.59,4.61,710108
2023-08-25,4.6,4.69,4.58,4.65,767942
2023-08-28,5.12,5.12,4.66,4.67,3576202
2023-08-29,4.62,4.67,4.48,4.56,2257240
2023-08-30,4.54,4.54,4.44,4.44,1316470
2023-08-31,4.46,4.49,4.36,4.36,915371
2023-09-01,4.38,4.41,4.35,4.37,737618
2023-09-04,4.39,4.44,4.35,4.43,909238
2023-09-05,4.42,4.43,4.34,4.36,892650
2023-09-06,4.34,4.38,4.32,4.36,572863
2023-09-07,4.36,4.39,4.32,4.32,593575
2023-09-08,4.32,4.35,4.3,4.33,460469
2023-09-11,4.33,4.41,4.32,4.38,822987
2023-09-12,4.38,4.4,4.36,4.36,406364
2023-09-13,4.37,4.37,4.3,4.32,595301
2023-09-14,4.33,4.36,4.31,4.35,578710
2023-09-15,4.36,4.39,4.34,4.35,728615
2023-09-18,4.34,4.37,4.32,4.36,437903
2023-09-19,4.37,4.38,4.34,4.35,599943
2023-09-20,4.35,4.37,4.32,4.35,391229
2023-09-21,4.35,4.37,4.3,4.3,578484
2023-09-22,4.29,4.43,4.29,4.41,1168519
2023-09-25,4.4,4.4,4.35,4.36,549780
2023-09-26,4.36,4.38,4.34,4.35,379370
2023-09-27,4.35,4.37,4.33,4.34,458147
2023-09-28,4.35,4.37,4.32,4.33,560050
2023-10-09,4.32,4.39,4.28,4.37,914198
2023-10-10,4.37,4.39,4.3,4.31,648984
2023-10-11,4.32,4.37,4.3,4.31,533615
2023-10-12,4.38,4.45,4.35,4.39,758240
2023-10-13,4.35,4.4,4.33,4.38,526596
2023-10-16,4.37,4.43,4.33,4.39,670763
2023-10-17,4.41,4.46,4.38,4.43,873709
2023-10-18,4.42,4.44,4.37,4.38,649846
2023-10-19,4.36,4.41,4.34,4.34,643415
2023-10-20,4.32,4.37,4.31,4.33,485842
2023-10-23,4.31,4.32,4.19,4.2,703517
2023-10-24,4.22,4.36,4.21,4.35,766672
2023-10-25,4.39,4.41,4.36,4.37,698396
2023-10-26,4.35,4.41,4.34,4.39,445192
2023-10-27,4.38,4.45,4.37,4.43,597289
2023-10-30,4.43,4.43,4.38,4.39,509631
2023-10-31,4.38,4.42,4.37,4.39,378844
2023-11-01,4.42,4.44,4.37,4.37,535310
2023-11-02,4.38,4.41,4.35,4.35,421933
2023-11-03,4.35,4.4,4.35,4.38,400442
2023-11-06,4.5,4.56,4.46,4.54,1491834
2023-11-07,4.52,4.61,4.5,4.59,1072990
2023-11-08,4.59,4.62,4.5,4.53,996595
2023-11-09,4.52,4.54,4.49,4.51,512157
2023-11-10,4.51,4.54,4.5,4.53,512196
2023-11-13,4.51,4.52,4.47,4.5,550368
2023-11-14,4.5,4.72,4.49,4.61,1838607
2023-11-15,4.65,4.71,4.61,4.63,1298475
2023-11-16,4.62,4.66,4.59,4.6,664417
2023-11-17,4.59,4.63,4.58,4.62,530074
2023-11-20,4.62,4.64,4.53,4.57,626396
2023-11-21,4.58,4.64,4.54,4.57,580936
2023-11-22,4.55,4.59,4.53,4.53,386419
2023-11-23,4.54,4.56,4.51,4.54,386100
2023-11-24,4.55,4.62,4.52,4.56,638954
2023-11-27,4.54,4.58,4.49,4.56,730485
2023-11-28,4.55,4.58,4.52,4.55,457757
2023-11-29,4.55,4.57,4.48,4.49,540299
2023-11-30,4.5,4.53,4.48,4.51,450213
2023-12-01,4.52,4.59,4.51,4.58,626562
